name,sex,genotype,area,ellipse_axe_1_length,max_axe_1_length,deviation_max_axe_1_from_center,axe_1_moment_2,axe_1_moment_3,axe_1_moment_4,std_axe_1_moment_2,std_axe_1_moment_3,std_axe_1_moment_4
0759-d_Ant_g,M,e-s,1152681.0,1763.898,1795.0,-131.4415,1037996539712.0,1265250883804280.0,1.67096852908962e+18,0.52866,0.57468,0.61129
0759-d_Post_d,M,e-s,781256.0,1181.4045,1169.0,-22.898,340882547545.0,282229119348565.0,2.5059650158607e+17,0.56506,0.60924,0.64377
0760-d_Ant_d,F,a-s,1004786.0,1677.3017,1760.0,88.6948,1113280928536.0,1399651783986980.0,1.86567597350703e+18,0.59807,0.63456,0.66325
0760-d_Post_d,F,a-s,648724.0,1140.2274,1117.0,-36.0163,259057091134.0,205728571811840.0,1.75115972230086e+17,0.56574,0.61051,0.6453
0771-d_Ant_d,M,a-e,998774.0,1661.5032,1704.0,78.4225,1035930465635.0,1269701943898650.0,1.65176078562571e+18,0.59767,0.63573,0.6655
0771-d_Post_d,M,a-e,694491.0,1115.3013,1130.0,-7.4249,289516524009.0,231245494762557.0,1.97665442441705e+17,0.57138,0.61337,0.64638
0772-d_Ant_d,M,a-s,1147545.0,1786.3909,1821.0,85.1583,1324392229880.0,1724043979410960.0,2.38549866034018e+18,0.58995,0.62895,0.65939
0772-d_Post_d,M,a-s,786552.0,1186.2501,1176.0,29.0524,347529283099.0,288884470284637.0,2.57207580047465e+17,0.56523,0.60896,0.64303
0773-d_Ant_d,M,s-s,1080669.0,1710.0495,1740.0,71.3975,1147936666523.0,1432266524367200.0,1.89906462181958e+18,0.59233,0.63129,0.6617
0773-d_Post_d,M,s-s,732565.0,1140.6919,1143.0,18.7965,296207035147.0,236097691754531.0,2.01655470046656e+17,0.55632,0.59984,0.63372
0788-d_Ant_d,F,a-s,1004592.0,1654.85,1713.0,90.8145,1052727832012.0,1292312314409020.0,1.68255137606055e+18,0.59759,0.63489,0.66411
0788-d_Post_g,F,a-s,635782.0,1149.2923,1135.0,-76.3781,272714816000.0,222267326302148.0,1.93970659314059e+17,0.57704,0.62067,0.6548
0789-d_Ant_d,M,a-s,1046449.0,1693.1516,1737.0,50.9777,1120677660773.0,1398236258914530.0,1.85321403569076e+18,0.59577,0.6341,0.66413
0789-d_Post_g,M,a-s,726120.0,1150.9115,1145.0,-63.8715,311964505913.0,254551912508401.0,2.22513018541672e+17,0.57246,0.61582,0.6498
0790-d_Ant_d,M,a-e,1202555.0,1789.8832,1840.0,105.352,1431166823199.0,1884837303637010.0,2.63790245760305e+18,0.59289,0.6313,0.66141
