"Statistic","Year","County and Region","UNIT","VALUE"
"Index of Disposable Income per Person","2016","Limerick","State=100","108.5"
"Index of Disposable Income per Person","2016","Tipperary","State=100","95.9"
"Index of Disposable Income per Person","2016","South-East","State=100","92.6"
"Index of Disposable Income per Person","2016","Carlow","State=100","95.5"
"Index of Disposable Income per Person","2016","Kilkenny","State=100","91.3"
"Index of Disposable Income per Person","2016","Wexford","State=100","90.9"
"Index of Disposable Income per Person","2016","Waterford","State=100","94.6"
"Index of Disposable Income per Person","2016","South-West","State=100","96.8"
"Index of Disposable Income per Person","2016","Cork","State=100","98.5"
"Index of Disposable Income per Person","2016","Kerry","State=100","90.8"
"Index of Disposable Income per Person","2016","Eastern and Midland","State=100","108"
"Index of Disposable Income per Person","2016","Dublin","State=100","117"
"Index of Disposable Income per Person","2016","Mid-East","State=100","100"
"Index of Disposable Income per Person","2016","Kildare","State=100","105.5"
"Index of Disposable Income per Person","2016","Louth","State=100","92.4"
"Index of Disposable Income per Person","2016","Meath","State=100","98.5"
"Index of Disposable Income per Person","2016","Wicklow","State=100","100.3"
"Index of Disposable Income per Person","2016","Midland","State=100","85.6"
"Index of Disposable Income per Person","2016","Laois","State=100","86.2"
"Index of Disposable Income per Person","2016","Longford","State=100","84.5"
"Index of Disposable Income per Person","2016","Offaly","State=100","82.3"
"Index of Disposable Income per Person","2016","Westmeath","State=100","88.5"
"Index of Disposable Income per Person","2017","State","State=100","100"
"Index of Disposable Income per Person","2017","Northern and Western","State=100","85.5"
"Index of Disposable Income per Person","2017","Border","State=100","82.3"
"Index of Disposable Income per Person","2017","Leitrim","State=100","87.5"
"Index of Disposable Income per Person","2017","Sligo","State=100","89.1"
"Index of Disposable Income per Person","2017","Cavan","State=100","86.2"
"Index of Disposable Income per Person","2017","Donegal","State=100","75.6"
"Index of Disposable Income per Person","2017","Monaghan","State=100","85.4"
"Index of Disposable Income per Person","2017","West","State=100","88.4"
"Index of Disposable Income per Person","2017","Galway","State=100","91.7"
"Index of Disposable Income per Person","2017","Mayo","State=100","84.2"
"Index of Disposable Income per Person","2017","Roscommon","State=100","84"
"Index of Disposable Income per Person","2017","Southern","State=100","95.5"
"Index of Disposable Income per Person","2017","Mid-West","State=100","99.6"
"Index of Disposable Income per Person","2017","Clare","State=100","90.5"
"Index of Disposable Income per Person","2017","Limerick","State=100","108.9"
"Index of Disposable Income per Person","2017","Tipperary","State=100","95"
"Index of Disposable Income per Person","2017","South-East","State=100","89.9"
"Index of Disposable Income per Person","2017","Carlow","State=100","91.2"
"Index of Disposable Income per Person","2017","Kilkenny","State=100","89.3"
"Index of Disposable Income per Person","2017","Wexford","State=100","87.6"
"Index of Disposable Income per Person","2017","Waterford","State=100","92.6"
"Index of Disposable Income per Person","2017","South-West","State=100","96"
"Index of Disposable Income per Person","2017","Cork","State=100","97.6"
"Index of Disposable Income per Person","2017","Kerry","State=100","90.4"
"Index of Disposable Income per Person","2017","Eastern and Midland","State=100","108.6"
"Index of Disposable Income per Person","2017","Dublin","State=100","115.2"
"Index of Disposable Income per Person","2017","Mid-East","State=100","103.1"
"Index of Disposable Income per Person","2017","Kildare","State=100","109.2"
"Index of Disposable Income per Person","2017","Louth","State=100","93.7"
"Index of Disposable Income per Person","2017","Meath","State=100","102.2"
"Index of Disposable Income per Person","2017","Wicklow","State=100","103.2"
"Index of Disposable Income per Person","2017","Midland","State=100","91.9"
"Index of Disposable Income per Person","2017","Laois","State=100","93.9"
"Index of Disposable Income per Person","2017","Longford","State=100","90.4"
"Index of Disposable Income per Person","2017","Offaly","State=100","87.2"
"Index of Disposable Income per Person","2017","Westmeath","State=100","94.8"
"Disposable Income per Person (excluding Rent)","2000","State","Euro","11597"
"Disposable Income per Person (excluding Rent)","2000","Northern and Western","Euro","10469"
"Disposable Income per Person (excluding Rent)","2000","Border","Euro","10059"
"Disposable Income per Person (excluding Rent)","2000","Leitrim","Euro","10329"
"Disposable Income per Person (excluding Rent)","2000","Sligo","Euro","10389"
"Disposable Income per Person (excluding Rent)","2000","Cavan","Euro","10354"
"Disposable Income per Person (excluding Rent)","2000","Donegal","Euro","9627"
"Disposable Income per Person (excluding Rent)","2000","Monaghan","Euro","10356"
"Disposable Income per Person (excluding Rent)","2000","West","Euro","10837"
"Disposable Income per Person (excluding Rent)","2000","Galway","Euro","10810"
"Disposable Income per Person (excluding Rent)","2000","Mayo","Euro","10874"
"Disposable Income per Person (excluding Rent)","2000","Roscommon","Euro","10861"
"Disposable Income per Person (excluding Rent)","2000","Southern","Euro","11039"
"Disposable Income per Person (excluding Rent)","2000","Mid-West","Euro","11274"
"Disposable Income per Person (excluding Rent)","2000","Clare","Euro","11361"
"Disposable Income per Person (excluding Rent)","2000","Limerick","Euro","11641"
"Disposable Income per Person (excluding Rent)","2000","Tipperary","Euro","10761"
"Disposable Income per Person (excluding Rent)","2000","South-East","Euro","10895"
"Disposable Income per Person (excluding Rent)","2000","Carlow","Euro","10850"
"Disposable Income per Person (excluding Rent)","2000","Kilkenny","Euro","10351"
"Disposable Income per Person (excluding Rent)","2000","Wexford","Euro","10744"
"Disposable Income per Person (excluding Rent)","2000","Waterford","Euro","11513"
"Disposable Income per Person (excluding Rent)","2000","South-West","Euro","10952"
"Disposable Income per Person (excluding Rent)","2000","Cork","Euro","11212"
"Disposable Income per Person (excluding Rent)","2000","Kerry","Euro","10086"
"Disposable Income per Person (excluding Rent)","2000","Eastern and Midland","Euro","12434"
"Disposable Income per Person (excluding Rent)","2000","Dublin","Euro","13074"
"Disposable Income per Person (excluding Rent)","2000","Mid-East","Euro","11740"
"Disposable Income per Person (excluding Rent)","2000","Kildare","Euro","12283"
"Disposable Income per Person (excluding Rent)","2000","Louth","Euro","11610"
"Disposable Income per Person (excluding Rent)","2000","Meath","Euro","11453"
"Disposable Income per Person (excluding Rent)","2000","Wicklow","Euro","11434"
"Disposable Income per Person (excluding Rent)","2000","Midland","Euro","10742"
"Disposable Income per Person (excluding Rent)","2000","Laois","Euro","10521"
"Disposable Income per Person (excluding Rent)","2000","Longford","Euro","10830"
"Disposable Income per Person (excluding Rent)","2000","Offaly","Euro","10356"
"Disposable Income per Person (excluding Rent)","2000","Westmeath","Euro","11240"
"Disposable Income per Person (excluding Rent)","2001","State","Euro","13323"
"Disposable Income per Person (excluding Rent)","2001","Northern and Western","Euro","11842"
"Disposable Income per Person (excluding Rent)","2001","Border","Euro","11403"
"Disposable Income per Person (excluding Rent)","2001","Leitrim","Euro","11561"
"Disposable Income per Person (excluding Rent)","2001","Sligo","Euro","11878"
"Disposable Income per Person (excluding Rent)","2001","Cavan","Euro","11855"
"Disposable Income per Person (excluding Rent)","2001","Donegal","Euro","10838"
"Disposable Income per Person (excluding Rent)","2001","Monaghan","Euro","11773"
"Disposable Income per Person (excluding Rent)","2001","West","Euro","12233"
"Disposable Income per Person (excluding Rent)","2001","Galway","Euro","12215"
"Disposable Income per Person (excluding Rent)","2001","Mayo","Euro","12237"
"Disposable Income per Person (excluding Rent)","2001","Roscommon","Euro","12296"
"Disposable Income per Person (excluding Rent)","2001","Southern","Euro","12615"
"Disposable Income per Person (excluding Rent)","2001","Mid-West","Euro","12924"
"Disposable Income per Person (excluding Rent)","2001","Clare","Euro","12750"
"Disposable Income per Person (excluding Rent)","2001","Limerick","Euro","13444"
"Disposable Income per Person (excluding Rent)","2001","Tipperary","Euro","12406"
"Disposable Income per Person (excluding Rent)","2001","South-East","Euro","12329"
"Disposable Income per Person (excluding Rent)","2001","Carlow","Euro","12254"
"Disposable Income per Person (excluding Rent)","2001","Kilkenny","Euro","11620"
"Disposable Income per Person (excluding Rent)","2001","Wexford","Euro","12280"
"Disposable Income per Person (excluding Rent)","2001","Waterford","Euro","12982"
"Disposable Income per Person (excluding Rent)","2001","South-West","Euro","12558"
"Disposable Income per Person (excluding Rent)","2001","Cork","Euro","12862"
"Disposable Income per Person (excluding Rent)","2001","Kerry","Euro","11543"
"Disposable Income per Person (excluding Rent)","2001","Eastern and Midland","Euro","14403"
"Disposable Income per Person (excluding Rent)","2001","Dublin","Euro","15193"
"Disposable Income per Person (excluding Rent)","2001","Mid-East","Euro","13600"
"Disposable Income per Person (excluding Rent)","2001","Kildare","Euro","14144"
