"Statistic","Year","County and Region","UNIT","VALUE"
"Index of Disposable Income per Person","2014","Waterford","State=100","99.8"
"Index of Disposable Income per Person","2014","South-West","State=100","97.6"
"Index of Disposable Income per Person","2014","Cork","State=100","99.9"
"Index of Disposable Income per Person","2014","Kerry","State=100","89.6"
"Index of Disposable Income per Person","2014","Eastern and Midland","State=100","106"
"Index of Disposable Income per Person","2014","Dublin","State=100","114.6"
"Index of Disposable Income per Person","2014","Mid-East","State=100","96.8"
"Index of Disposable Income per Person","2014","Kildare","State=100","100"
"Index of Disposable Income per Person","2014","Louth","State=100","92.5"
"Index of Disposable Income per Person","2014","Meath","State=100","95.1"
"Index of Disposable Income per Person","2014","Wicklow","State=100","98.1"
"Index of Disposable Income per Person","2014","Midland","State=100","88.6"
"Index of Disposable Income per Person","2014","Laois","State=100","89.8"
"Index of Disposable Income per Person","2014","Longford","State=100","88.1"
"Index of Disposable Income per Person","2014","Offaly","State=100","85.5"
"Index of Disposable Income per Person","2014","Westmeath","State=100","90.6"
"Index of Disposable Income per Person","2015","State","State=100","100"
"Index of Disposable Income per Person","2015","Northern and Western","State=100","86.9"
"Index of Disposable Income per Person","2015","Border","State=100","84.8"
"Index of Disposable Income per Person","2015","Leitrim","State=100","90.4"
"Index of Disposable Income per Person","2015","Sligo","State=100","91.9"
"Index of Disposable Income per Person","2015","Cavan","State=100","88.3"
"Index of Disposable Income per Person","2015","Donegal","State=100","78.3"
"Index of Disposable Income per Person","2015","Monaghan","State=100","86.9"
"Index of Disposable Income per Person","2015","West","State=100","88.8"
"Index of Disposable Income per Person","2015","Galway","State=100","92"
"Index of Disposable Income per Person","2015","Mayo","State=100","85.2"
"Index of Disposable Income per Person","2015","Roscommon","State=100","83.5"
"Index of Disposable Income per Person","2015","Southern","State=100","97"
"Index of Disposable Income per Person","2015","Mid-West","State=100","97.9"
"Index of Disposable Income per Person","2015","Clare","State=100","88.9"
"Index of Disposable Income per Person","2015","Limerick","State=100","105.9"
"Index of Disposable Income per Person","2015","Tipperary","State=100","95"
