Statistic,Garda Station,Type of Offence,UNIT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Recorded Crime Offences Under Reservation,"44103 Ballymore, Westmeath Division",Theft and related offences,Number,5,8,11,2,4,10,19,9,9,20,10,11,4,6,7,7,7
Recorded Crime Offences Under Reservation,"44103 Ballymore, Westmeath Division","Fraud, deception and related offences",Number,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
Recorded Crime Offences Under Reservation,"44103 Ballymore, Westmeath Division",Controlled drug offences,Number,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2
Recorded Crime Offences Under Reservation,"44103 Ballymore, Westmeath Division",Weapons and Explosives Offences,Number,0,0,0,0,0,1,1,0,1,0,0,2,1,1,0,0,0
Recorded Crime Offences Under Reservation,"44103 Ballymore, Westmeath Division",Damage to property and to the environment,Number,1,4,3,4,3,1,4,7,4,1,1,2,1,0,5,2,3
Recorded Crime Offences Under Reservation,"44103 Ballymore, Westmeath Division",Public order and other social code offences,Number,0,4,7,1,2,0,6,0,1,2,3,3,1,3,0,1,0
Recorded Crime Offences Under Reservation,"44103 Ballymore, Westmeath Division","Offences against government, justice procedures and organisation of crime",Number,0,0,0,0,4,2,1,0,2,0,0,0,1,2,2,1,0
Recorded Crime Offences Under Reservation,"13103 Ballymote, Sligo/Leitrim Division","Attempts/threats to murder, assaults, harassments and related offences",Number,12,9,12,9,12,17,15,16,9,9,11,12,13,7,15,13,24
Recorded Crime Offences Under Reservation,"13103 Ballymote, Sligo/Leitrim Division",Dangerous or negligent acts,Number,12,14,17,30,13,20,19,10,7,4,7,8,4,7,8,14,9
Recorded Crime Offences Under Reservation,"13103 Ballymote, Sligo/Leitrim Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"13103 Ballymote, Sligo/Leitrim Division","Robbery, extortion and hijacking offences",Number,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"13103 Ballymote, Sligo/Leitrim Division",Burglary and related offences,Number,7,11,9,3,9,8,14,7,11,7,22,9,14,8,3,10,6
Recorded Crime Offences Under Reservation,"13103 Ballymote, Sligo/Leitrim Division",Theft and related offences,Number,20,19,20,14,22,23,30,39,34,34,32,23,9,16,7,10,17
Recorded Crime Offences Under Reservation,"13103 Ballymote, Sligo/Leitrim Division","Fraud, deception and related offences",Number,2,1,0,3,0,2,5,11,3,6,0,1,0,3,1,1,4
Recorded Crime Offences Under Reservation,"13103 Ballymote, Sligo/Leitrim Division",Controlled drug offences,Number,1,0,7,1,1,5,5,8,13,6,13,7,8,6,8,12,17
Recorded Crime Offences Under Reservation,"13103 Ballymote, Sligo/Leitrim Division",Weapons and Explosives Offences,Number,0,2,0,2,2,3,3,11,6,0,2,3,0,1,0,3,2
Recorded Crime Offences Under Reservation,"13103 Ballymote, Sligo/Leitrim Division",Damage to property and to the environment,Number,14,10,22,19,22,27,19,26,22,15,21,18,14,6,14,25,17
Recorded Crime Offences Under Reservation,"13103 Ballymote, Sligo/Leitrim Division",Public order and other social code offences,Number,12,21,42,21,37,30,35,35,56,18,35,19,15,15,5,15,15
Recorded Crime Offences Under Reservation,"13103 Ballymote, Sligo/Leitrim Division","Offences against government, justice procedures and organisation of crime",Number,0,4,3,1,5,7,6,4,5,3,3,12,1,2,3,1,5
Recorded Crime Offences Under Reservation,"63201 Ballymun, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences",Number,110,132,152,172,176,210,214,188,163,143,135,126,160,154,202,233,201
Recorded Crime Offences Under Reservation,"63201 Ballymun, D.M.R. Northern Division",Dangerous or negligent acts,Number,64,90,116,113,137,133,96,77,49,53,58,41,31,52,42,48,38
Recorded Crime Offences Under Reservation,"63201 Ballymun, D.M.R. Northern Division",Kidnapping and related offences,Number,0,3,1,0,1,2,1,0,3,1,1,1,1,0,1,3,1
Recorded Crime Offences Under Reservation,"63201 Ballymun, D.M.R. Northern Division","Robbery, extortion and hijacking offences",Number,17,34,31,30,28,49,57,69,42,30,40,40,75,29,62,69,33
Recorded Crime Offences Under Reservation,"63201 Ballymun, D.M.R. Northern Division",Burglary and related offences,Number,145,204,172,189,150,158,204,179,143,123,150,164,100,99,123,125,96
Recorded Crime Offences Under Reservation,"63201 Ballymun, D.M.R. Northern Division",Theft and related offences,Number,337,432,461,528,653,579,636,547,514,591,699,650,558,562,624,843,677
Recorded Crime Offences Under Reservation,"63201 Ballymun, D.M.R. Northern Division","Fraud, deception and related offences",Number,23,12,21,16,41,17,26,37,32,38,31,27,24,26,33,36,37
Recorded Crime Offences Under Reservation,"63201 Ballymun, D.M.R. Northern Division",Controlled drug offences,Number,52,49,104,126,166,291,274,340,230,269,266,256,183,184,221,283,419
Recorded Crime Offences Under Reservation,"63201 Ballymun, D.M.R. Northern Division",Weapons and Explosives Offences,Number,31,42,65,48,71,63,60,56,46,42,29,31,29,40,69,62,66
Recorded Crime Offences Under Reservation,"63201 Ballymun, D.M.R. Northern Division",Damage to property and to the environment,Number,231,295,398,469,557,675,655,443,386,349,350,375,269,241,245,266,264
Recorded Crime Offences Under Reservation,"63201 Ballymun, D.M.R. Northern Division",Public order and other social code offences,Number,132,80,210,327,379,500,547,413,335,357,302,168,125,140,149,152,184
Recorded Crime Offences Under Reservation,"63201 Ballymun, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime",Number,46,49,59,43,43,47,24,22,20,7,23,33,35,47,49,42,68
Recorded Crime Offences Under Reservation,"44201 Ballynacargy, Westmeath Division","Attempts/threats to murder, assaults, harassments and related offences",Number,12,7,3,4,10,11,7,6,4,0,3,6,3,2,2,2,3
Recorded Crime Offences Under Reservation,"44201 Ballynacargy, Westmeath Division",Dangerous or negligent acts,Number,7,6,3,9,4,5,3,3,1,8,6,1,4,3,3,0,0
Recorded Crime Offences Under Reservation,"44201 Ballynacargy, Westmeath Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"44201 Ballynacargy, Westmeath Division","Robbery, extortion and hijacking offences",Number,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"44201 Ballynacargy, Westmeath Division",Burglary and related offences,Number,11,23,13,13,16,16,13,18,16,10,20,7,4,5,9,4,8
Recorded Crime Offences Under Reservation,"44201 Ballynacargy, Westmeath Division",Theft and related offences,Number,7,12,15,27,25,18,15,20,25,15,8,7,5,3,11,5,7
Recorded Crime Offences Under Reservation,"44201 Ballynacargy, Westmeath Division","Fraud, deception and related offences",Number,2,0,0,1,0,2,3,2,1,0,4,1,1,0,1,0,1
Recorded Crime Offences Under Reservation,"44201 Ballynacargy, Westmeath Division",Controlled drug offences,Number,0,0,0,4,1,2,0,1,3,1,0,0,2,5,5,5,2
Recorded Crime Offences Under Reservation,"44201 Ballynacargy, Westmeath Division",Weapons and Explosives Offences,Number,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,2,0
Recorded Crime Offences Under Reservation,"44201 Ballynacargy, Westmeath Division",Damage to property and to the environment,Number,5,17,6,11,16,10,12,7,11,4,4,7,7,2,7,6,1
Recorded Crime Offences Under Reservation,"44201 Ballynacargy, Westmeath Division",Public order and other social code offences,Number,29,42,20,10,16,6,5,3,7,8,2,2,3,5,1,1,2
Recorded Crime Offences Under Reservation,"44201 Ballynacargy, Westmeath Division","Offences against government, justice procedures and organisation of crime",Number,1,0,0,0,0,0,0,0,0,0,2,2,1,4,1,0,1
Recorded Crime Offences Under Reservation,"35401 Ballyneety, Limerick Division","Attempts/threats to murder, assaults, harassments and related offences",Number,12,9,10,7,11,9,4,8,4,5,9,4,18,13,6,8,5
Recorded Crime Offences Under Reservation,"35401 Ballyneety, Limerick Division",Dangerous or negligent acts,Number,5,5,2,8,7,10,4,4,7,1,3,2,3,4,2,4,3
Recorded Crime Offences Under Reservation,"35401 Ballyneety, Limerick Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"35401 Ballyneety, Limerick Division","Robbery, extortion and hijacking offences",Number,0,0,0,1,0,1,1,3,1,0,1,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"35401 Ballyneety, Limerick Division",Burglary and related offences,Number,7,9,27,6,21,17,21,16,33,15,23,27,9,18,19,10,16
Recorded Crime Offences Under Reservation,"35401 Ballyneety, Limerick Division",Theft and related offences,Number,26,33,39,54,34,24,45,37,40,42,44,46,27,16,22,15,21
Recorded Crime Offences Under Reservation,"35401 Ballyneety, Limerick Division","Fraud, deception and related offences",Number,1,0,2,3,1,2,1,2,0,1,2,2,2,2,3,2,5
Recorded Crime Offences Under Reservation,"35401 Ballyneety, Limerick Division",Controlled drug offences,Number,1,1,3,2,3,2,6,14,1,2,2,0,2,2,1,1,1
Recorded Crime Offences Under Reservation,"35401 Ballyneety, Limerick Division",Weapons and Explosives Offences,Number,1,5,0,0,0,2,2,2,3,1,0,0,1,1,0,0,1
Recorded Crime Offences Under Reservation,"35401 Ballyneety, Limerick Division",Damage to property and to the environment,Number,18,14,23,22,12,12,20,20,16,18,18,13,23,10,14,11,11
Recorded Crime Offences Under Reservation,"35401 Ballyneety, Limerick Division",Public order and other social code offences,Number,2,3,9,8,5,8,7,10,10,4,8,1,3,4,1,3,1
Recorded Crime Offences Under Reservation,"35401 Ballyneety, Limerick Division","Offences against government, justice procedures and organisation of crime",Number,2,0,0,1,1,1,1,1,0,0,2,1,13,3,9,6,4
Recorded Crime Offences Under Reservation,"32201 Ballynoe, Cork North Division","Attempts/threats to murder, assaults, harassments and related offences",Number,1,9,4,4,1,3,2,3,1,2,2,5,4,2,9,3,18
Recorded Crime Offences Under Reservation,"32201 Ballynoe, Cork North Division",Dangerous or negligent acts,Number,6,7,5,3,1,5,5,0,2,3,3,2,2,1,5,4,4
Recorded Crime Offences Under Reservation,"32201 Ballynoe, Cork North Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"32201 Ballynoe, Cork North Division","Robbery, extortion and hijacking offences",Number,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"32201 Ballynoe, Cork North Division",Burglary and related offences,Number,5,3,9,8,1,4,1,9,7,4,2,4,12,10,2,3,5
Recorded Crime Offences Under Reservation,"32201 Ballynoe, Cork North Division",Theft and related offences,Number,13,5,7,10,8,12,3,6,12,15,6,4,5,6,4,14,3
Recorded Crime Offences Under Reservation,"32201 Ballynoe, Cork North Division","Fraud, deception and related offences",Number,1,0,0,0,3,1,0,1,1,1,0,0,1,1,1,1,3
Recorded Crime Offences Under Reservation,"32201 Ballynoe, Cork North Division",Controlled drug offences,Number,1,1,1,3,2,1,0,1,3,1,1,0,0,1,6,2,0
Recorded Crime Offences Under Reservation,"32201 Ballynoe, Cork North Division",Weapons and Explosives Offences,Number,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0
Recorded Crime Offences Under Reservation,"32201 Ballynoe, Cork North Division",Damage to property and to the environment,Number,1,3,5,6,0,7,5,4,7,6,3,10,3,3,0,0,3
Recorded Crime Offences Under Reservation,"32201 Ballynoe, Cork North Division",Public order and other social code offences,Number,10,9,8,4,4,1,0,2,1,3,2,2,3,7,4,3,5
Recorded Crime Offences Under Reservation,"32201 Ballynoe, Cork North Division","Offences against government, justice procedures and organisation of crime",Number,0,1,0,1,0,1,1,0,0,0,0,0,0,2,2,2,1
Recorded Crime Offences Under Reservation,"51102 Ballyporeen, Tipperary Division","Attempts/threats to murder, assaults, harassments and related offences",Number,0,4,2,0,6,5,4,1,4,3,3,5,2,4,1,2,1
Recorded Crime Offences Under Reservation,"51102 Ballyporeen, Tipperary Division",Dangerous or negligent acts,Number,2,0,2,4,1,4,8,6,3,1,3,2,0,1,1,0,0
Recorded Crime Offences Under Reservation,"51102 Ballyporeen, Tipperary Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"51102 Ballyporeen, Tipperary Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"51102 Ballyporeen, Tipperary Division",Burglary and related offences,Number,2,3,3,3,3,4,1,4,12,7,8,5,5,7,1,3,1
Recorded Crime Offences Under Reservation,"51102 Ballyporeen, Tipperary Division",Theft and related offences,Number,4,7,7,2,2,2,2,2,6,6,7,6,6,2,3,1,4
Recorded Crime Offences Under Reservation,"51102 Ballyporeen, Tipperary Division","Fraud, deception and related offences",Number,1,0,1,0,0,3,1,2,1,0,0,0,0,0,0,1,1
Recorded Crime Offences Under Reservation,"51102 Ballyporeen, Tipperary Division",Controlled drug offences,Number,0,0,0,6,0,3,1,2,1,1,1,2,0,1,3,0,1
Recorded Crime Offences Under Reservation,"51102 Ballyporeen, Tipperary Division",Weapons and Explosives Offences,Number,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"51102 Ballyporeen, Tipperary Division",Damage to property and to the environment,Number,3,2,4,0,1,4,2,6,8,2,1,4,0,3,6,1,1
Recorded Crime Offences Under Reservation,"51102 Ballyporeen, Tipperary Division",Public order and other social code offences,Number,4,15,17,16,6,10,15,7,13,4,2,4,2,2,1,5,2
Recorded Crime Offences Under Reservation,"51102 Ballyporeen, Tipperary Division","Offences against government, justice procedures and organisation of crime",Number,0,2,0,0,0,0,0,1,2,0,2,0,0,3,1,0,0
Recorded Crime Offences Under Reservation,"12102 Ballyshannon, Donegal Division","Attempts/threats to murder, assaults, harassments and related offences",Number,29,23,22,28,35,34,26,21,26,14,10,12,18,7,28,15,25
Recorded Crime Offences Under Reservation,"12102 Ballyshannon, Donegal Division",Dangerous or negligent acts,Number,19,28,30,29,35,25,20,24,11,8,10,5,6,8,14,9,21
Recorded Crime Offences Under Reservation,"12102 Ballyshannon, Donegal Division",Kidnapping and related offences,Number,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12102 Ballyshannon, Donegal Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,1
Recorded Crime Offences Under Reservation,"12102 Ballyshannon, Donegal Division",Burglary and related offences,Number,16,17,5,17,15,12,22,17,10,7,6,16,10,11,10,4,15
Recorded Crime Offences Under Reservation,"12102 Ballyshannon, Donegal Division",Theft and related offences,Number,70,37,45,68,38,28,50,36,37,23,41,23,24,28,13,16,28
Recorded Crime Offences Under Reservation,"12102 Ballyshannon, Donegal Division","Fraud, deception and related offences",Number,7,3,6,3,3,7,5,7,3,3,6,3,6,6,2,5,13
Recorded Crime Offences Under Reservation,"12102 Ballyshannon, Donegal Division",Controlled drug offences,Number,18,14,20,44,48,62,88,94,69,45,34,30,17,22,29,14,37
Recorded Crime Offences Under Reservation,"12102 Ballyshannon, Donegal Division",Weapons and Explosives Offences,Number,3,4,4,6,3,5,5,3,4,1,0,3,5,3,3,0,1
Recorded Crime Offences Under Reservation,"12102 Ballyshannon, Donegal Division",Damage to property and to the environment,Number,24,27,37,51,47,69,59,38,32,24,20,24,20,21,14,23,20
Recorded Crime Offences Under Reservation,"12102 Ballyshannon, Donegal Division",Public order and other social code offences,Number,141,157,134,82,71,73,57,63,67,55,26,35,31,39,28,29,43
Recorded Crime Offences Under Reservation,"12102 Ballyshannon, Donegal Division","Offences against government, justice procedures and organisation of crime",Number,7,11,3,14,10,5,12,17,11,10,12,10,21,13,11,9,10
Recorded Crime Offences Under Reservation,"21201 Ballyvaughan, Clare Division","Attempts/threats to murder, assaults, harassments and related offences",Number,1,1,0,2,0,3,3,2,2,1,1,2,3,4,1,5,11
Recorded Crime Offences Under Reservation,"21201 Ballyvaughan, Clare Division",Dangerous or negligent acts,Number,0,0,0,1,0,3,3,1,0,1,0,1,0,2,0,0,1
Recorded Crime Offences Under Reservation,"21201 Ballyvaughan, Clare Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"21201 Ballyvaughan, Clare Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"21201 Ballyvaughan, Clare Division",Burglary and related offences,Number,2,1,4,3,6,6,9,3,4,3,7,6,11,1,1,4,4
Recorded Crime Offences Under Reservation,"21201 Ballyvaughan, Clare Division",Theft and related offences,Number,17,11,9,7,8,18,26,11,4,26,25,11,25,8,12,11,6
Recorded Crime Offences Under Reservation,"21201 Ballyvaughan, Clare Division","Fraud, deception and related offences",Number,0,1,0,0,0,2,0,1,0,1,2,0,0,0,0,1,0
Recorded Crime Offences Under Reservation,"21201 Ballyvaughan, Clare Division",Controlled drug offences,Number,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
Recorded Crime Offences Under Reservation,"21201 Ballyvaughan, Clare Division",Weapons and Explosives Offences,Number,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"21201 Ballyvaughan, Clare Division",Damage to property and to the environment,Number,4,4,5,0,2,3,8,2,1,3,5,4,4,1,4,4,0
Recorded Crime Offences Under Reservation,"21201 Ballyvaughan, Clare Division",Public order and other social code offences,Number,0,0,2,0,1,0,1,2,1,0,3,3,1,1,2,1,0
Recorded Crime Offences Under Reservation,"21201 Ballyvaughan, Clare Division","Offences against government, justice procedures and organisation of crime",Number,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"33302 Baltimore, Cork West Division","Attempts/threats to murder, assaults, harassments and related offences",Number,2,4,0,3,1,1,2,1,1,1,0,0,3,1,2,2,3
Recorded Crime Offences Under Reservation,"33302 Baltimore, Cork West Division",Dangerous or negligent acts,Number,0,0,0,1,0,3,1,1,1,2,0,2,1,0,1,4,2
Recorded Crime Offences Under Reservation,"33302 Baltimore, Cork West Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"33302 Baltimore, Cork West Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
